id,track_artist,track_name,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genreVerbose,genreFamily
7179,Derrol,ASMR Rain Sounds,115911,0,,1,0.171,0.976,10,-16.672,0,0.0569,0.000473,0.995,0.326,0.00365,85.312,lo-fi product,other
7180,Derrol,Rain And Chill,109967,0,,1,0.14,0.979,11,-16.616,1,0.0585,0.00043,0.994,0.349,0.00353,86.578,lo-fi product,other
7181,Derrol,Deep Sleep Rain,101050,0,,1,0.0758,0.982,6,-16.674,1,0.0587,0.000407,0.994,0.33,0.00369,83.017,lo-fi product,other
7182,Derrol,Heavy Rain,92134,0,,1,0.174,0.98,6,-16.674,1,0.0566,0.000381,0.993,0.388,0.00385,86.587,lo-fi product,other
7183,Derrol,Thunderstorm Sounds,80245,0,,1,0.101,0.978,6,-16.734,1,0.0585,0.000397,0.997,0.368,0.00323,91.665,lo-fi product,other
7184,Derrol,Soothing Thunder,74301,0,,1,0.19,0.98,10,-16.713,0,0.0572,0.000199,0.996,0.336,0.00279,88.046,lo-fi product,other
7185,Juicethegod,P3,138841,0,,5,0.633,0.501,0,-11.032,1,0.187,0.338,0,0.603,0.603,83.066,unknown,unknown
7186,Juicethegod,Hott $Hitt,112013,0,,8,0.69,0.7,9,-5.086,1,0.261,0.0146,0,0.0514,0.373,179.808,unknown,unknown
7187,Juicethegod,Out the Bricks,130351,0,,6,0.723,0.688,8,-5.564,0,0.272,0.0295,0,0.0987,0.524,140.23,unknown,unknown
7188,Juicethegod,Gummo Remix,139102,0,,4,0.503,0.843,0,-6.492,0,0.845,0.284,0,0.139,0.832,78.878,unknown,unknown
7189,Juicethegod,Betcha Gang,174367,1,,8,0.6,0.508,10,-8.17,1,0.369,0.0292,0,0.157,0.26,180.221,unknown,unknown
7190,Juicethegod,She Like,188891,1,,10,0.764,0.649,1,-5.726,1,0.154,0.0351,0,0.119,0.523,86.997,unknown,unknown
7191,Juicethegod,Okay Fasho,160653,1,,7,0.741,0.453,7,-14.633,0,0.408,0.0558,0,0.358,0.732,139.964,unknown,unknown
7192,Judson Leach,Bizarre Love Triangle,280800,0,,0,0.724,0.735,2,-9.8,1,0.0464,1.18E-05,0.938,0.0924,0.185,122.489,unknown,unknown
7193,Ju‡rez Mateo,Cu‡n grande es ƒl,253248,0,,13,0.552,0.575,5,-7.993,1,0.0285,0.17,0.893,0.498,0.213,120.012,unknown,unknown
7194,Juarez B.,Let the Bass Go,153809,1,,14,0.77,0.387,9,-20.167,1,0.418,0.0107,5.39E-06,0.679,0.589,140.002,unknown,unknown
7195,Juan Mendoza,La noche y tœ,192200,0,,3,0.585,0.493,2,-6.995,1,0.0622,0.742,0,0.0569,0.61,141.265,unknown,unknown
7196,Juan Garc’a Medeles y su Orquesta,Begin the Beguine,211707,0,,0,0.43,0.6,0,-6.997,1,0.0328,0.74,0.8,0.215,0.645,123.442,unknown,unknown
7197,Jr. Melancon and The Come Down Playboys,Havin' Fun,249107,0,,13,0.691,0.699,5,-10.419,1,0.0326,0.0159,0.0141,0.0872,0.971,118.869,unknown,unknown
7198,Jr. Melancon and The Come Down Playboys,Quand J'etais Pauvre,178880,0,,1,0.558,0.885,7,-10.235,1,0.0356,0.0288,0.0801,0.129,0.977,102.25,unknown,unknown
7199,Jr. Melancon and The Come Down Playboys,She Didn't Know I Was Married,181520,0,,0,0.651,0.66,0,-9.571,1,0.0364,0.00964,0.0159,0.13,0.961,118.511,unknown,unknown
7200,Jr. Melancon and The Come Down Playboys,Cut Your Toe Nails,177213,0,,1,0.641,0.819,0,-8.828,1,0.0355,0.0433,0.00868,0.251,0.966,120.804,unknown,unknown
7201,Jr. Melancon and The Come Down Playboys,Cajun From Church Point,214520,0,,0,0.53,0.976,7,-7.765,1,0.036,0.0209,0.0527,0.0697,0.969,99.929,unknown,unknown
7202,Jr. Melancon and The Come Down Playboys,Fools Waltz,177107,0,,0,0.667,0.827,7,-8.035,1,0.0354,0.0336,0.0268,0.133,0.969,121.719,unknown,unknown
7203,Jr. Melancon and The Come Down Playboys,Laissez Les Bon Temps Rouler,202533,0,,0,0.555,0.955,7,-7.976,1,0.0378,0.0079,2.18E-05,0.334,0.943,102.845,unknown,unknown
7204,Jr. Melancon and The Come Down Playboys,Fais Do Do,172253,0,,0,0.546,0.967,4,-7.606,0,0.0418,0.00703,0.389,0.107,0.969,100.734,unknown,unknown
7205,Jr. Melancon and The Come Down Playboys,Mermentau Waltz,261987,0,,1,0.568,0.759,7,-7.727,1,0.0366,0.0143,0.0015,0.1,0.907,114.627,unknown,unknown
7206,Jr. Melancon and The Come Down Playboys,La Petite Ou La Grosse,194493,0,,0,0.496,0.986,7,-7.172,1,0.0405,0.0208,0.727,0.129,0.98,103.233,unknown,unknown
7207,Jr. Melancon and The Come Down Playboys,Hicks Wagon Wheel,153720,0,,0,0.541,0.991,4,-7.753,0,0.0403,0.00702,0.826,0.0618,0.977,99.572,unknown,unknown
7208,Jr. Melancon and The Come Down Playboys,Lemonade Song,209307,0,,0,0.568,0.978,7,-8.963,1,0.0342,0.00223,0.0298,0.0671,0.973,102.663,unknown,unknown
7209,Jr. Melancon and The Come Down Playboys,Tee Galop Pour Mamou,180240,0,,0,0.603,0.953,2,-9.736,1,0.0342,0.0864,0.151,0.128,0.978,101.359,unknown,unknown
7210,Jr. Melancon and The Come Down Playboys,Pauver Hobo,189813,0,,0,0.575,0.893,2,-8.903,1,0.03,0.0447,0.0181,0.0736,0.977,104.173,unknown,unknown
